PLAYER,PASS_TO,PASS,SOURCE,TARGET,Weight
"Rush, Brandon","Green, Draymond",158,1,4,4
"Rush, Brandon","Curry, Stephen",153,1,8,4
"Rush, Brandon","Clark, Ian",85,1,11,3
"Rush, Brandon","Thompson, Klay",84,1,2,3
"Rush, Brandon","Livingston, Shaun",77,1,13,3
"Rush, Brandon","Speights, Marreese",42,1,5,2
"Rush, Brandon","Iguodala, Andre",40,1,9,2
"Rush, Brandon","Barbosa, Leandro",39,1,3,2
"Rush, Brandon","Bogut, Andrew",35,1,6,2
"Rush, Brandon","Barnes, Harrison",28,1,15,2
"Rush, Brandon","Ezeli, Festus",15,1,12,2
"Rush, Brandon","McAdoo, James Michael",8,1,7,1
"Rush, Brandon","Varejao, Anderson",5,1,10,1
"Rush, Brandon","Looney, Kevon",3,1,14,1
"Speights, Marreese","Livingston, Shaun",217,5,13,5
"Speights, Marreese","Iguodala, Andre",145,5,9,4
"Speights, Marreese","Barbosa, Leandro",94,5,3,3
"Speights, Marreese","Clark, Ian",76,5,11,3
"Speights, Marreese","Curry, Stephen",68,5,8,3
"Speights, Marreese","Green, Draymond",49,5,4,2
"Speights, Marreese","Thompson, Klay",46,5,2,2
"Speights, Marreese","Rush, Brandon",43,5,7,2
"Speights, Marreese","Barnes, Harrison",40,5,15,2
"Speights, Marreese","Ezeli, Festus",8,5,12,1
"Speights, Marreese","McAdoo, James Michael",7,5,7,1
"Speights, Marreese","Looney, Kevon",1,5,14,1
"Speights, Marreese","Varejao, Anderson",1,5,10,1
"Iguodala, Andre","Curry, Stephen",367,9,8,6
"Iguodala, Andre","Green, Draymond",300,9,7,5
"Iguodala, Andre","Livingston, Shaun",293,9,13,5
"Iguodala, Andre","Thompson, Klay",163,9,2,4
"Iguodala, Andre","Barnes, Harrison",161,9,15,4
"Iguodala, Andre","Speights, Marreese",149,9,5,4
"Iguodala, Andre","Barbosa, Leandro",146,9,3,4
"Iguodala, Andre","Ezeli, Festus",90,9,12,3
"Iguodala, Andre","Bogut, Andrew",90,9,6,3
"Iguodala, Andre","Clark, Ian",59,9,11,3
"Iguodala, Andre","Rush, Brandon",40,9,7,2
"Iguodala, Andre","McAdoo, James Michael",24,9,7,2
"Iguodala, Andre","Varejao, Anderson",14,9,10,2
"Thompson, Klay","Green, Draymond",465,2,4,7
"Thompson, Klay","Curry, Stephen",260,2,8,5
"Thompson, Klay","Bogut, Andrew",184,2,6,4
"Thompson, Klay","Livingston, Shaun",115,2,13,4
"Thompson, Klay","Iguodala, Andre",111,2,9,4
"Thompson, Klay","Barnes, Harrison",98,2,15,3
"Thompson, Klay","Ezeli, Festus",56,2,12,3
"Thompson, Klay","Speights, Marreese",49,2,5,2
"Thompson, Klay","Rush, Brandon",41,2,7,2
"Thompson, Klay","Clark, Ian",34,2,11,2
"Thompson, Klay","Barbosa, Leandro",27,2,3,2
"Thompson, Klay","McAdoo, James Michael",17,2,7,2
"Thompson, Klay","Looney, Kevon",1,2,14,1
"Thompson, Klay","Varejao, Anderson",2,2,10,1
"Bogut, Andrew","Curry, Stephen",689,6,8,8
"Bogut, Andrew","Green, Draymond",332,6,4,6
"Bogut, Andrew","Thompson, Klay",244,6,2,5
"Bogut, Andrew","Livingston, Shaun",109,6,13,4
"Bogut, Andrew","Iguodala, Andre",97,6,9,3
"Bogut, Andrew","Barnes, Harrison",83,6,15,3
"Bogut, Andrew","Rush, Brandon",54,6,7,3
"Bogut, Andrew","Clark, Ian",28,6,11,2
"Bogut, Andrew","Barbosa, Leandro",23,6,3,2
"Bogut, Andrew","Speights, Marreese",1,6,5,1
"Varejao, Anderson","Curry, Stephen",27,10,8,2
"Varejao, Anderson","Livingston, Shaun",14,10,13,2
"Varejao, Anderson","Barbosa, Leandro",13,10,3,2
"Varejao, Anderson","Green, Draymond",12,10,4,2
"Varejao, Anderson","Iguodala, Andre",10,10,9,1
"Varejao, Anderson","Barnes, Harrison",7,10,15,1
"Varejao, Anderson","Clark, Ian",4,10,11,1
"Varejao, Anderson","Thompson, Klay",3,10,2,1
"Varejao, Anderson","Rush, Brandon",2,10,7,1
"Varejao, Anderson","Speights, Marreese",1,10,5,1
"Varejao, Anderson","Looney, Kevon",1,10,14,1
"Barbosa, Leandro","Livingston, Shaun",151,3,13,4
"Barbosa, Leandro","Iguodala, Andre",130,3,9,4
"Barbosa, Leandro","Speights, Marreese",102,3,5,4
"Barbosa, Leandro","Barnes, Harrison",73,3,15,3
